link,id_apto,precio,cant_habitaciones,longitud,latitud
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-flora/cali/7688514,7688514,1800000,2,-76.5223159790039,3.490323305130005
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/san-fernando/cali/6977664,6977664,1814404,3,-76.54199981689453,3.428999900817871
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-campina/cali/7681852,7681852,1200000,2,-76.52710723876953,3.480440855026245
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-ingenio/cali/7649782,7649782,1700000,2,-76.53478240966797,3.380980968475342
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7649766,7649766,2700000,2,-76.54293823242188,3.4499802589416504
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7648797,7648797,2800000,3,-76.52952575683594,3.3573954105377197
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-almendros/cali/7608710,7608710,950000,3,-76.53299713134766,3.3450000286102295
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7648844,7648844,1100000,2,-76.53463745117188,3.4498722553253174
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/altos-de-menga/cali/7649826,7649826,1900000,3,-76.52799987792969,3.490000009536743
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/villa-colombia/cali/7649177,7649177,1000000,2,-76.49503326416016,3.4563119411468506
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-primavera/cali/7649487,7649487,800000,3,-76.50927734375,3.4212698936462402
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bellavista/cali/7648706,7648706,3500000,2,-76.55485534667969,3.447497606277466
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7670323,7670323,4100000,2,-76.54785919189453,3.453023910522461
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-independencia/cali/7648777,7648777,600000,2,-76.51799774169922,3.4149999618530273
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-norte/cali/7663793,7663793,880000,4,-76.52100372314453,3.4749999046325684
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/panamericano/cali/7648299,7648299,1300000,4,-76.53436279296875,3.414788007736206
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7649788,7649788,1200000,3,-76.52799987792969,3.2960000038146973
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7648845,7648845,4100000,2,-76.55467987060547,3.4500327110290527
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/napoles/cali/7605082,7605082,900000,3,-76.49339294433594,3.4666359424591064
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/alamos/cali/7656344,7656344,900000,2,-76.50700378417969,3.4860000610351562
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7649313,7649313,3500000,3,-76.55419921875,3.4472432136535645
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-caney/cali/7649201,7649201,650000,3,-76.51441192626953,3.3859760761260986
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-teresita/cali/7649430,7649430,1800000,3,-76.55196380615234,3.449007987976074
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/arboledas/cali/7330217,7330217,3800000,3,-76.54623413085938,3.44956636428833
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/normandia-zona-oeste/cali/7614771,7614771,3500000,3,-76.5433578491211,3.4520065784454346
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/cristobal-colon/cali/7652591,7652591,600000,2,-76.531982421875,3.4516468048095703
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7649446,7649446,2650000,3,-76.54000091552734,3.371000051498413
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-bosque/cali/7504718,7504718,1150000,2,-76.53022766113281,3.4843218326568604
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7652072,7652072,1200000,2,-76.50491333007812,3.371535539627075
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-campina/cali/7261648,7261648,1150000,2,-76.5270004272461,3.4809999465942383
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-campina/cali/7681852,7681852,1200000,2,-76.52710723876953,3.480440855026245
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/el-limonar/cali/7712024,7712024,1900000,3,-76.5445785522461,3.399449110031128
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/las-vegas-de-comfandi/cali/7652575,7652575,750000,3,-76.50960540771484,3.3804383277893066
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-jardin/cali/7653046,7653046,1050000,3,-76.5355453491211,3.3696064949035645
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/vipasa/cali/7653333,7653333,1800000,3,-76.51700592041016,3.479947090148926
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/colseguros/cali/7629175,7629175,880000,2,-76.52735137939453,3.430596113204956
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7653771,7653771,2600000,3,-76.51701354980469,3.362755060195923
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/palmeras-del-norte/cali/7603706,7603706,850000,2,-76.50164794921875,3.4741933345794678
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/guadalupe/cali/7651439,7651439,950000,2,-76.52577209472656,3.4029788970947266
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/prados-del-limonar/cali/7648850,7648850,1100000,3,-76.52837371826172,3.3897082805633545
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/los-andes/cali/7650106,7650106,850000,3,-76.5009994506836,3.4719998836517334
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/dapa/cali/7652741,7652741,1050000,2,-76.5260009765625,3.434000015258789
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/colon/cali/7653945,7653945,1000000,2,-76.52446746826172,3.419846773147583
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/menga/cali/7665877,7665877,2500000,3,-76.5270004272461,3.489000082015991
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7651879,7651879,1500000,2,-76.51566314697266,3.378140926361084
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/quintas-de-don-simon/cali/7651143,7651143,1800000,3,-76.5386962890625,3.388484001159668
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/santa-isabel/cali/7707895,7707895,2500000,3,-76.53199768066406,3.4519999027252197
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7650090,7650090,1200000,3,-76.51663970947266,3.374342203140259
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/valle-del-lili/cali/7693963,7693963,930000,2,-76.51814270019531,3.366701602935791
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/quintas-de-don-simon/cali/7650120,7650120,3600000,4,-76.53678894042969,3.391693115234375
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/brisas-de-los-alamos/cali/7651524,7651524,1400000,2,-76.48607635498047,3.4720184803009033
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/atanasio-girardot/cali/7669250,7669250,620000,2,-76.51000213623047,3.446000099182129
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/la-primavera/cali/7650867,7650867,650000,3,-76.50890350341797,3.422244071960449
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/ciudad-pacifica/cali/7653611,7653611,1100000,3,-76.52194213867188,3.3436219692230225
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/bochalema/cali/7655207,7655207,1300000,3,-76.5184326171875,3.3598945140838623
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/las-acacias/cali/7621740,7621740,1080000,3,-76.52100372314453,3.434000015258789
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/union-de-vivienda-popular/cali/7543747,7543747,600000,2,-76.5090560913086,3.4067418575286865
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/melendez/cali/7637154,7637154,914600,2,-76.5009994506836,3.4800000190734863
https://fincaraiz.com.co/inmueble/apartamento-en-arriendo/aguacatal/cali/6835189,6835189,1300000,2,-76.55728149414062,3.453878879547119
